episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks,experiment_name
1200,-0.516949153,-0.274808612,0.0,0.461895982,58,55.11807448,0.0,0.01,[0.         0.05286344 0.20264317 0.3215859  0.42290749],25,-0.377758817,0.32,55.24,0.0,experiment_1
1300,-0.283333333,-0.27127896,0.25,0.458207928,59,54.95670275,0.0,0.01,[0.0201005  0.31658291 0.61306533 0.04522613 0.00502513],25,-0.203677198,0.63,51.28,0.0,experiment_1
1400,-0.25,-0.24447294,0.5,0.496023645,50,54.5641814,0.0,0.01,[0.02027027 0.05405405 0.86486486 0.05405405 0.00675676],25,-0.182688417,0.6,49.6,0.0,experiment_1
1500,0.0,-0.218399215,1.0,0.554420935,53,54.31620271,0.0,0.01,[0.03508772 0.24561404 0.69005848 0.02923977 0.        ],25,-0.186307803,0.58,54.16,0.0,experiment_1
1600,-0.131355932,-0.195117698,0.75,0.586880641,58,53.96668887,0.0,0.01,[0.0516129  0.06451613 0.76129032 0.12258065 0.        ],25,-0.141691481,0.72,43.48,0.0,experiment_1
1700,-0.24122807,-0.187305587,0.75,0.617518067,56,53.70393504,0.0,0.01,[0.03125 0.1375  0.75    0.08125 0.     ],25,-0.081506585,0.83,42.88,0.0,experiment_1
1800,0.0,-0.174057535,1.0,0.646246283,50,53.49323927,0.0,0.01,[0.02597403 0.31818182 0.51298701 0.13636364 0.00649351],25,-0.265183415,0.51,50.52,0.0,experiment_1
1900,-0.18877551,-0.170150809,0.25,0.644418728,48,53.29150472,0.0,0.01,[0.01408451 0.04225352 0.74647887 0.1971831  0.        ],25,-0.113493866,0.73,44.48,0.0,experiment_1
2000,0.0,-0.127230959,1.0,0.737292612,42,52.91478169,0.0,0.01,[0.046875 0.234375 0.65625  0.0625   0.      ],25,-0.083404256,0.82,45.84,0.0,experiment_1
2100,-0.50862069,-0.126068038,0.0,0.744448812,28,52.66966517,0.0,0.01,[0.03571429 0.32142857 0.58035714 0.0625     0.        ],25,-0.090952517,0.8,45.4,0.0,experiment_1
2200,-0.10483871,-0.109213126,0.75,0.765142089,61,52.50690148,0.0,0.01,[0.02366864 0.07692308 0.83431953 0.06508876 0.        ],25,-0.15076649,0.72,49.56,0.0,experiment_1
2300,0.0,-0.124753824,1.0,0.74486673,38,52.27260336,0.0,0.01,[0.02857143 0.14285714 0.77857143 0.05       0.        ],25,-0.164952819,0.65,51.16,0.0,experiment_1
2400,-0.016949153,-0.115153576,1.0,0.764510663,43,52.05041286,0.0,0.01,[0.03278689 0.03278689 0.87704918 0.05737705 0.        ],25,-0.088337483,0.78,48.48,0.0,experiment_1
2500,-0.155940594,-0.112356982,0.75,0.776436264,100,51.90587255,0.0,0.01,[0.0130719  0.26797386 0.69934641 0.0130719  0.00653595],25,-0.081084311,0.84,45.36,0.0,experiment_1
2600,-0.568681319,-0.118406599,0.25,0.777227701,90,51.7804878,0.0,0.01,[0.003861   0.47490347 0.50579151 0.01158301 0.003861  ],25,-0.097920894,0.76,42.48,0.0,experiment_1
2700,0.0,-0.105547984,1.0,0.811378185,40,51.57093426,0.0,0.01,[0.04098361 0.56557377 0.36885246 0.02459016 0.        ],25,-0.072607976,0.88,45.24,0.0,experiment_1
2800,-0.173387097,-0.130413693,0.5,0.740306284,61,51.53424658,0.0,0.01,[0.01290323 0.35483871 0.58064516 0.0516129  0.        ],25,-0.07524592,0.83,47.96,0.0,experiment_1
2900,0.0,-0.103065395,1.0,0.798427137,45,51.25098179,0.0,0.01,[0.03921569 0.11764706 0.80392157 0.03921569 0.        ],25,-0.083216131,0.81,43.48,0.0,experiment_1
3000,0.0,-0.125126186,1.0,0.76062148,33,51.06377111,0.0,0.01,[0.04385965 0.13157895 0.79824561 0.02631579 0.        ],25,-0.068300855,0.86,47.56,0.0,experiment_1
3100,-0.208860759,-0.111898417,0.5,0.777823346,78,51.03665445,0.0,0.01,[0.43303571 0.23214286 0.30803571 0.02678571 0.        ],25,-0.123178426,0.78,47.0,0.0,experiment_1
3200,-0.072727273,-0.113473928,0.5,0.767467281,54,50.87229926,0.0,0.01,[0.02631579 0.19078947 0.59210526 0.03947368 0.15131579],25,-0.094540499,0.77,50.44,0.0,experiment_1
3300,-0.004807692,-0.10040103,1.0,0.793055908,42,50.72945954,0.0,0.01,[0.02542373 0.29661017 0.52542373 0.15254237 0.        ],25,-0.072302521,0.87,43.24,0.0,experiment_1
3400,-0.207831325,-0.108419248,0.75,0.794376592,82,50.57255377,0.0,0.01,[0.00934579 0.05607477 0.89252336 0.03738318 0.0046729 ],25,-0.12585419,0.77,43.6,0.0,experiment_1
3500,-0.378787879,-0.112876037,0.25,0.79059234,32,50.4745663,0.0,0.01,[0.03418803 0.21367521 0.7008547  0.05128205 0.        ],25,-0.048345861,0.9,43.28,0.0,experiment_1
3600,0.0,-0.11484612,1.0,0.763213636,42,50.36246787,0.0,0.01,[0.03603604 0.21621622 0.71171171 0.02702703 0.00900901],25,-0.165596941,0.75,49.96,0.0,experiment_1
3700,-0.298850575,-0.093042669,0.5,0.82133087,86,50.2174396,0.0,0.01,[0.01136364 0.32386364 0.63636364 0.02272727 0.00568182],25,-0.073756471,0.84,42.96,0.0,experiment_1
3800,0.0,-0.104360175,1.0,0.811143817,33,50.11645501,0.0,0.01,[0.03333333 0.25833333 0.65       0.05       0.00833333],25,-0.074646834,0.85,44.2,0.0,experiment_1
3900,0.0,-0.120398476,1.0,0.768875677,38,50.05656406,0.0,0.01,[0.032 0.152 0.752 0.064 0.   ],25,-0.053652842,0.86,43.28,0.0,experiment_1
4000,-0.132653061,-0.095261216,0.75,0.801940488,48,49.93386311,0.0,0.01,[0.03448276 0.56896552 0.26724138 0.12931034 0.        ],25,-0.098401171,0.81,46.48,0.0,experiment_1
100,-0.586065574,-0.995860656,0.5,0.005,60,60.0,0.0,0.99,[0.23004695 0.21126761 0.15492958 0.20657277 0.1971831 ],25,-0.479665981,0.01,55.16,0.0,experiment_2
200,-0.349056604,-0.72357909,0.25,0.107475816,52,55.92079208,0.0,0.362372018,[0.05325444 0.1183432  0.15976331 0.56804734 0.10059172],25,-0.397363207,0.28,55.72,0.0,experiment_2
300,-0.264423077,-0.571642909,0.75,0.165303917,51,55.99502488,0.0,0.132639878,[0.02797203 0.11888112 0.73426573 0.06293706 0.05594406],25,-0.514926185,0.12,63.92,0.0,experiment_2
400,-0.575892857,-0.522462349,0.25,0.171775308,55,56.0166113,0.0,0.048550485,[0.07462687 0.06467662 0.20895522 0.1641791  0.48756219],25,-0.492628006,0.11,56.0,0.0,experiment_2
500,-0.632978723,-0.471112772,0.0,0.218159927,46,55.70822943,0.0,0.017771048,[0.03278689 0.45355191 0.13661202 0.37704918 0.        ],25,-0.293980304,0.53,52.8,0.0,experiment_2
600,-0.205357143,-0.389336478,0.5,0.314963593,55,55.37924152,0.0,0.01,[0.03164557 0.05696203 0.31012658 0.13924051 0.46202532],25,-0.328150924,0.38,51.52,0.0,experiment_2
700,-0.572916667,-0.339730023,0.0,0.38502678,47,54.87853577,0.0,0.01,[0.80978261 0.13586957 0.0326087  0.01630435 0.00543478],25,-0.239143279,0.54,56.44,0.0,experiment_2
800,-0.240740741,-0.289797235,0.5,0.424935425,53,54.51355207,0.0,0.01,[0.02272727 0.07575758 0.31060606 0.59090909 0.        ],25,-0.275573312,0.43,53.32,0.0,experiment_2
900,0.0,-0.245774355,1.0,0.492857328,39,54.13857678,0.0,0.01,[0.04929577 0.84507042 0.04225352 0.06338028 0.        ],25,-0.173654894,0.66,51.52,0.0,experiment_2
1000,0.0,-0.236361526,1.0,0.493430909,35,53.78357381,0.0,0.01,[0.04918033 0.05737705 0.03278689 0.86065574 0.        ],25,-0.140697052,0.69,47.68,0.0,experiment_2
1100,0.0,-0.191597008,1.0,0.587843482,41,53.21078921,0.0,0.01,[0.05       0.87142857 0.04285714 0.03571429 0.        ],25,-0.164257682,0.6,50.6,0.0,experiment_2
1200,-0.27173913,-0.195299529,0.5,0.596204152,45,52.79200727,0.0,0.01,[0.03816794 0.00763359 0.09923664 0.84732824 0.00763359],25,-0.197871473,0.58,52.32,0.0,experiment_2
1300,-0.138392857,-0.170077684,0.75,0.630447655,55,52.5295587,0.0,0.01,[0.04216867 0.24698795 0.03614458 0.54819277 0.12650602],25,-0.206057383,0.59,47.16,0.0,experiment_2
1400,-0.113636364,-0.178035277,0.75,0.61517948,54,52.30668716,0.0,0.01,[0.07086614 0.46456693 0.25984252 0.20472441 0.        ],25,-0.166206887,0.63,48.68,0.0,experiment_2
1500,-0.547619048,-0.192010505,0.0,0.590007423,62,52.23768737,0.0,0.01,[0.41563786 0.54320988 0.00823045 0.02880658 0.00411523],25,-0.191053763,0.55,52.08,0.0,experiment_2
1600,-0.06372549,-0.194663015,0.75,0.563987725,50,52.13057961,0.0,0.01,[0.25892857 0.55357143 0.10714286 0.07142857 0.00892857],25,-0.17925383,0.6,53.72,0.0,experiment_2
1700,-0.25,-0.192893997,0.0,0.589256339,57,52.04184884,0.0,0.01,[0.12568306 0.18579235 0.01639344 0.66666667 0.00546448],25,-0.204055028,0.59,52.72,0.0,experiment_2
1800,-0.310185185,-0.172684936,0.25,0.645359966,53,51.81128748,0.0,0.01,[0.00680272 0.05442177 0.01360544 0.92517007 0.        ],25,-0.150174437,0.68,51.12,0.0,experiment_2
1900,-0.122727273,-0.174587261,0.5,0.6368646,54,51.62132149,0.0,0.01,[0.02272727 0.02272727 0.5530303  0.40151515 0.        ],25,-0.170713737,0.63,46.32,0.0,experiment_2
2000,0.0,-0.168632727,1.0,0.64365322,39,51.54287217,0.0,0.01,[0.05128205 0.87179487 0.05128205 0.02564103 0.        ],25,-0.140134714,0.7,50.76,0.0,experiment_2
2100,0.0,-0.160166024,1.0,0.663388613,36,51.35682159,0.0,0.01,[0.06349206 0.53174603 0.01587302 0.38888889 0.        ],25,-0.128702833,0.7,49.08,0.0,experiment_2
2200,-0.133064516,-0.15409147,0.75,0.667779965,61,51.29557354,0.0,0.01,[0.04761905 0.44217687 0.01360544 0.48979592 0.00680272],25,-0.176599608,0.64,46.52,0.0,experiment_2
2300,-0.234126984,-0.148756353,0.5,0.679261655,62,51.0922308,0.0,0.01,[0.01554404 0.56994819 0.03626943 0.22279793 0.15544041],25,-0.155496601,0.6,52.0,0.0,experiment_2
2400,-0.43442623,-0.171326888,0.25,0.634290127,60,51.07257714,0.0,0.01,[0.00473934 0.5450237  0.00473934 0.27014218 0.17535545],25,-0.121744472,0.7,49.24,0.0,experiment_2
2500,-0.269607843,-0.159845641,0.5,0.674714117,50,50.92877968,0.0,0.01,[0.0212766  0.62411348 0.03546099 0.07092199 0.24822695],25,-0.158529086,0.71,49.28,0.0,experiment_2
2600,-0.31557377,-0.141835714,0.25,0.709348794,60,50.79008397,0.0,0.01,[0.02139037 0.46524064 0.05882353 0.22994652 0.22459893],25,-0.09284671,0.82,45.28,0.0,experiment_2
2700,0.0,-0.137547173,1.0,0.721128193,78,50.66435986,0.0,0.01,[0.03846154 0.86923077 0.04615385 0.04615385 0.        ],25,-0.135973583,0.72,46.72,0.0,experiment_2
2800,0.0,-0.132877397,1.0,0.72997383,38,50.49241022,0.0,0.01,[0.03571429 0.375      0.05357143 0.53571429 0.        ],25,-0.173557446,0.64,49.48,0.0,experiment_2
2900,-0.651639344,-0.180512762,0.5,0.647909285,60,50.53409497,0.0,0.01,[0.02298851 0.8045977  0.01149425 0.16091954 0.        ],25,-0.145801979,0.71,46.48,0.0,experiment_2
3000,-0.320833333,-0.163120508,0.25,0.660987436,59,50.50224061,0.0,0.01,[0.01807229 0.95180723 0.01807229 0.01204819 0.        ],25,-0.091875059,0.78,44.88,0.0,experiment_2
3100,-0.333333333,-0.12087365,0.5,0.73221614,53,50.31922692,0.0,0.01,[0.07526882 0.15591398 0.05376344 0.70967742 0.00537634],25,-0.097351757,0.8,48.44,0.0,experiment_2
3200,0.0,-0.12720879,1.0,0.727668432,39,50.27378265,0.0,0.01,[0.03759398 0.4887218  0.07518797 0.39097744 0.0075188 ],25,-0.14235652,0.69,48.72,0.0,experiment_2
3300,-0.399038462,-0.127209952,0.25,0.744828743,51,50.14308029,0.0,0.01,[0.03636364 0.0969697  0.39393939 0.23636364 0.23636364],25,-0.137433183,0.7,51.52,0.0,experiment_2
3400,-0.351851852,-0.136889969,0.25,0.711601359,26,50.09875795,0.0,0.01,[0.04347826 0.35869565 0.20652174 0.38043478 0.01086957],25,-0.168087346,0.62,46.36,0.0,experiment_2
3500,-0.302419355,-0.128667343,0.5,0.733914631,61,49.95912967,0.0,0.01,[0.01724138 0.65517241 0.02873563 0.29885057 0.        ],25,-0.185454158,0.58,50.12,0.0,experiment_2
3600,0.0,-0.112682806,1.0,0.766275987,35,49.88746073,0.0,0.01,[0.03305785 0.2231405  0.07438017 0.66942149 0.        ],25,-0.078715641,0.84,45.72,0.0,experiment_2
3700,-0.129310345,-0.155130905,0.5,0.668608786,57,49.92474313,0.0,0.01,[0.01142857 0.69714286 0.01142857 0.08       0.2       ],25,-0.203940882,0.46,53.4,0.0,experiment_2
3800,0.0,-0.150072028,1.0,0.672927476,45,49.92488517,0.0,0.01,[0.1025641  0.77777778 0.07692308 0.04273504 0.        ],25,-0.154752171,0.66,47.64,0.0,experiment_2
3900,-0.147435897,-0.132387066,0.5,0.716254558,77,49.87792686,0.0,0.01,[0.05641026 0.08205128 0.02051282 0.84102564 0.        ],25,-0.189090548,0.66,52.48,0.0,experiment_2
4000,-0.257692308,-0.121432531,0.5,0.735025087,64,49.86362471,0.0,0.01,[0.01036269 0.13471503 0.01554404 0.83937824 0.        ],25,-0.137814631,0.63,50.4,0.0,experiment_2
100,-0.586065574,-0.995860656,0.5,0.005,60,60.0,0.0,0.99,[0.23004695 0.21126761 0.15492958 0.20657277 0.1971831 ],25,-0.538393657,0.05,57.8,0.0,experiment_3
200,-0.66,-0.695395244,0.0,0.07720276,49,56.67326733,0.0,0.362372018,[0.06122449 0.05612245 0.53571429 0.08163265 0.26530612],25,-0.569553188,0.0,58.72,0.0,experiment_3
300,-0.107142857,-0.587062084,0.75,0.075435806,62,55.96517413,0.0,0.132639878,[0.05851064 0.12234043 0.61170213 0.06382979 0.14361702],25,-0.446226976,0.03,53.64,0.0,experiment_3
400,-0.448113208,-0.538758797,0.0,0.072050394,52,55.84385382,0.0,0.048550485,[0.00507614 0.01522843 0.6751269  0.1319797  0.17258883],25,-0.429710158,0.1,58.56,0.0,experiment_3
500,-0.390625,-0.51992457,0.0,0.060747709,47,56.03740648,0.0,0.017771048,[0.05063291 0.00632911 0.5        0.2278481  0.21518987],25,-0.480143011,0.01,57.72,0.0,experiment_3
600,-0.509259259,-0.48233207,0.0,0.088803048,53,55.84431138,0.0,0.01,[0.48341232 0.00473934 0.26540284 0.01421801 0.23222749],25,-0.52206084,0.01,53.84,0.0,experiment_3
700,-0.353174603,-0.45201039,0.25,0.124321774,62,55.78535774,0.0,0.01,[0.         0.21393035 0.42288557 0.00995025 0.35323383],25,-0.41712587,0.08,57.64,0.0,experiment_3
800,-0.508474576,-0.424919556,0.0,0.200136633,58,55.72467903,0.0,0.01,[0.00990099 0.44554455 0.32673267 0.04455446 0.17326733],25,-0.329093979,0.29,54.44,0.0,experiment_3
900,-0.074626866,-0.390117933,0.75,0.259445458,66,55.65667915,0.0,0.01,[0.02678571 0.02232143 0.72321429 0.05357143 0.17410714],25,-0.349456381,0.29,53.16,0.0,experiment_3
1000,0.0,-0.351775078,1.0,0.313874025,41,55.52608213,0.0,0.01,[0.         0.03676471 0.91911765 0.04411765 0.        ],25,-0.388787454,0.3,53.28,0.0,experiment_3
1100,-0.310185185,-0.30541318,0.75,0.392411,53,55.44455544,0.0,0.01,[0.19298246 0.19298246 0.56725146 0.04678363 0.        ],25,-0.330995243,0.46,49.76,0.0,experiment_3
1200,-0.33490566,-0.28216026,0.5,0.45609049,52,55.18165304,0.0,0.01,[0.         0.74358974 0.19230769 0.06410256 0.        ],25,-0.279559398,0.45,54.32,0.0,experiment_3
1300,-0.054347826,-0.295193397,0.75,0.431351094,45,55.34138218,0.0,0.01,[0.         0.35714286 0.60714286 0.02678571 0.00892857],25,-0.271905344,0.44,52.0,0.0,experiment_3
1400,-0.193037975,-0.282298097,0.25,0.450576667,78,55.23750961,0.0,0.01,[0.         0.09012876 0.41201717 0.45922747 0.03862661],25,-0.310795502,0.4,54.72,0.0,experiment_3
1500,-0.326612903,-0.289606257,0.25,0.430828058,61,55.13847252,0.0,0.01,[0.0049505  0.03465347 0.54455446 0.29207921 0.12376238],25,-0.261772068,0.55,55.28,0.0,experiment_3
1600,0.0,-0.254881129,1.0,0.480804476,49,54.94137242,0.0,0.01,[0.00793651 0.07142857 0.84920635 0.07142857 0.        ],25,-0.274673507,0.45,52.52,0.0,experiment_3
1700,-0.081632653,-0.227642995,0.75,0.537773728,48,54.69206746,0.0,0.01,[0.         0.7480315  0.24409449 0.00787402 0.        ],25,-0.187347501,0.59,44.28,0.0,experiment_3
1800,0.0,-0.237816752,1.0,0.517576111,36,54.70664315,0.0,0.01,[0.         0.12195122 0.80487805 0.07317073 0.        ],25,-0.166671812,0.66,48.12,0.0,experiment_3
1900,-0.205223881,-0.225492053,0.5,0.534018979,66,54.6579678,0.0,0.01,[0.00534759 0.01069519 0.95187166 0.02673797 0.00534759],25,-0.212872308,0.59,51.76,0.0,experiment_3
2000,-0.259433962,-0.200996147,0.5,0.595418687,52,54.53971594,0.0,0.01,[0.         0.05263158 0.68421053 0.25657895 0.00657895],25,-0.25470365,0.51,55.84,0.0,experiment_3
2100,0.0,-0.188881176,1.0,0.615753288,46,54.28885557,0.0,0.01,[0.         0.04195804 0.92307692 0.03496503 0.        ],25,-0.225755664,0.6,49.32,0.0,experiment_3
2200,-0.339285714,-0.162196146,0.25,0.678459153,55,54.08138981,0.0,0.01,[0.         0.04395604 0.7032967  0.24725275 0.00549451],25,-0.186462903,0.64,52.68,0.0,experiment_3
2300,0.0,-0.162085539,1.0,0.674458177,41,53.92776011,0.0,0.01,[0.         0.03597122 0.89928058 0.0647482  0.        ],25,-0.094209935,0.81,47.52,0.0,experiment_3
2400,-0.043103448,-0.15865294,0.75,0.664602985,57,53.81573229,0.0,0.01,[0.        0.078125  0.828125  0.0859375 0.0078125],25,-0.185876232,0.67,46.96,0.0,experiment_3
2500,0.0,-0.155308671,1.0,0.688983493,39,53.71137026,0.0,0.01,[0.01612903 0.07258065 0.80645161 0.10483871 0.        ],25,-0.114804325,0.74,49.04,0.0,experiment_3
2600,0.0,-0.178564625,1.0,0.64062434,33,53.64014394,0.0,0.01,[0.01801802 0.04504505 0.9009009  0.03603604 0.        ],25,-0.144125002,0.69,50.88,0.0,experiment_3
2700,-0.203846154,-0.154431241,0.5,0.676844184,64,53.54901961,0.0,0.01,[0.         0.34065934 0.64835165 0.01098901 0.        ],25,-0.144158788,0.67,49.88,0.0,experiment_3
2800,-0.260416667,-0.132870567,0.5,0.716153537,71,53.37615698,0.0,0.01,[0.         0.15606936 0.73988439 0.10404624 0.        ],25,-0.117187033,0.79,46.64,0.0,experiment_3
2900,0.0,-0.132701355,1.0,0.707255684,53,53.27990004,0.0,0.01,[0.         0.05147059 0.91176471 0.03676471 0.        ],25,-0.102170842,0.77,45.08,0.0,experiment_3
3000,-0.383561644,-0.159241767,0.25,0.688049229,72,53.17855912,0.0,0.01,[0.    0.03  0.35  0.615 0.005],25,-0.113967917,0.75,48.6,0.0,experiment_3
3100,-0.244680851,-0.148641027,0.5,0.702800805,46,53.03965345,0.0,0.01,[0.    0.184 0.712 0.096 0.008],25,-0.13354708,0.7,51.32,0.0,experiment_3
3200,0.0,-0.146619272,1.0,0.714476323,37,52.88939052,0.0,0.01,[0.         0.05172414 0.86206897 0.06896552 0.01724138],25,-0.164127037,0.67,47.52,0.0,experiment_3
3300,0.0,-0.131406859,1.0,0.728091183,40,52.74289285,0.0,0.01,[0.00662252 0.01986755 0.94039735 0.02649007 0.00662252],25,-0.13350656,0.72,47.04,0.0,experiment_3
3400,-0.452702703,-0.119982954,0.5,0.746415598,36,52.65798243,0.0,0.01,[0.         0.1        0.80769231 0.09230769 0.        ],25,-0.166969896,0.61,54.04,0.0,experiment_3
3500,0.0,-0.124327364,1.0,0.750506757,16,52.56542193,0.0,0.01,[0.01724138 0.10344828 0.79310345 0.0862069  0.        ],25,-0.117046787,0.68,52.6,0.0,experiment_3
3600,-0.284090909,-0.129541955,0.5,0.735314966,65,52.50928306,0.0,0.01,[0.00985222 0.21182266 0.73891626 0.03940887 0.        ],25,-0.107633899,0.72,48.96,0.0,experiment_3
3700,-0.092105263,-0.116682369,0.75,0.741766124,56,52.42293807,0.0,0.01,[0.05633803 0.05633803 0.54929577 0.33802817 0.        ],25,-0.141384189,0.69,47.6,0.0,experiment_3
3800,0.0,-0.129592421,1.0,0.720000156,35,52.41340178,0.0,0.01,[0.         0.2037037  0.77777778 0.01851852 0.        ],25,-0.117197678,0.78,45.6,0.0,experiment_3
3900,-0.23880597,-0.118483121,0.5,0.75858179,66,52.32228361,0.0,0.01,[0.02409639 0.02409639 0.8253012  0.12048193 0.0060241 ],25,-0.169182413,0.69,47.0,0.0,experiment_3
4000,-0.09375,-0.120638965,0.75,0.756642241,55,52.20763907,0.0,0.01,[0.01492537 0.02985075 0.90298507 0.05223881 0.        ],25,-0.084711024,0.81,49.04,0.0,experiment_3
100,-0.37704918,-0.993770492,0.25,0.0025,60,60.0,0.0,0.99,[0.23333333 0.20952381 0.15714286 0.2047619  0.1952381 ],25,-0.434229284,0.05,55.0,0.0,experiment_4
200,-0.33203125,-0.739997951,0.0,0.088323282,63,55.79207921,0.0,0.362372018,[0.41350211 0.07172996 0.07172996 0.07594937 0.36708861],25,-0.498882759,0.0,52.68,0.0,experiment_4
300,-0.585,-0.57799425,0.0,0.083639258,49,56.39800995,0.0,0.132639878,[0.45604396 0.02747253 0.21428571 0.03296703 0.26923077],25,-0.499235494,0.0,55.6,0.0,experiment_4
400,-0.494047619,-0.554307922,0.0,0.082417239,83,57.00996678,0.0,0.048550485,[0.46703297 0.16483516 0.28021978 0.02747253 0.06043956],25,-0.384895082,0.24,59.6,0.0,experiment_4
500,-0.5,-0.469809056,0.25,0.149260589,51,56.45386534,0.0,0.017771048,[0.0273224  0.83060109 0.03825137 0.10382514 0.        ],25,-0.283885923,0.39,55.56,0.0,experiment_4
600,-0.370535714,-0.424634073,0.25,0.17480776,55,56.36526946,0.0,0.01,[0.1160221  0.15469613 0.06629834 0.03867403 0.62430939],25,-0.487512096,0.02,56.0,0.0,experiment_4
700,-1.025,-0.434952175,0.0,0.189693541,29,56.20798669,0.0,0.01,[0.04597701 0.67816092 0.14942529 0.10344828 0.02298851],25,-0.269263725,0.52,51.0,0.0,experiment_4
800,-0.245454545,-0.411532337,0.75,0.253687907,54,56.01854494,0.0,0.01,[0.0397351  0.29801325 0.17880795 0.47682119 0.00662252],25,-0.418959057,0.25,57.72,0.0,experiment_4
900,-0.506944444,-0.397999811,0.25,0.258230736,71,55.99250936,0.0,0.01,[0.01785714 0.07142857 0.69642857 0.13095238 0.08333333],25,-0.410493598,0.17,55.16,0.0,experiment_4
1000,-0.200819672,-0.369617668,0.5,0.303550869,60,55.89345172,0.0,0.01,[0.03726708 0.07453416 0.50310559 0.0310559  0.35403727],25,-0.36917843,0.25,58.6,0.0,experiment_4
1100,0.0,-0.351951836,1.0,0.315322374,38,55.91508492,0.0,0.01,[0.03252033 0.42276423 0.49593496 0.04878049 0.        ],25,-0.265315422,0.44,53.64,0.0,experiment_4
1200,-0.236607143,-0.358735814,0.5,0.324986477,55,55.96457766,0.0,0.01,[0.2        0.08275862 0.63448276 0.06206897 0.02068966],25,-0.40459803,0.33,56.24,0.0,experiment_4
1300,-0.472222222,-0.349821511,0.0,0.350988707,35,55.92756037,0.0,0.01,[0.44444444 0.4017094  0.02564103 0.         0.12820513],25,-0.368638683,0.28,55.8,0.0,experiment_4
1400,-0.618644068,-0.355573682,0.0,0.347840466,58,55.95618755,0.0,0.01,[0.12719298 0.1754386  0.66666667 0.03070175 0.        ],25,-0.417654114,0.28,55.56,0.0,experiment_4
1500,-0.103846154,-0.359223652,0.75,0.356235262,64,55.84796574,0.0,0.01,[0.06818182 0.01515152 0.85606061 0.0530303  0.00757576],25,-0.305146224,0.42,55.28,0.0,experiment_4
1600,-0.504807692,-0.331634306,0.0,0.401581918,51,55.73151233,0.0,0.01,[0.21192053 0.29801325 0.07284768 0.23178808 0.18543046],25,-0.208439994,0.58,50.8,0.0,experiment_4
1700,-0.144230769,-0.284899128,0.5,0.461525005,51,55.51780137,0.0,0.01,[0.17197452 0.41401274 0.36305732 0.05095541 0.        ],25,-0.212635241,0.51,53.92,0.0,experiment_4
1800,-0.603773585,-0.281386163,0.0,0.460807683,52,55.38447972,0.0,0.01,[0.12244898 0.09693878 0.02040816 0.75510204 0.00510204],25,-0.382327109,0.33,49.96,0.0,experiment_4
1900,-0.239583333,-0.289223855,0.25,0.456901476,47,55.31649084,0.0,0.01,[0.02721088 0.08163265 0.08163265 0.80952381 0.        ],25,-0.344449109,0.39,58.96,0.0,experiment_4
