episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks
1800,-0.310185185,-0.172684936,0.25,0.645359966,53,51.81128748,0,0.01,[0.00680272 0.05442177 0.01360544 0.92517007 0.        ],25,-0.150174437,0.68,51.12,0
1900,-0.122727273,-0.174587261,0.5,0.6368646,54,51.62132149,0,0.01,[0.02272727 0.02272727 0.5530303  0.40151515 0.        ],25,-0.170713737,0.63,46.32,0
2000,0,-0.168632727,1,0.64365322,39,51.54287217,0,0.01,[0.05128205 0.87179487 0.05128205 0.02564103 0.        ],25,-0.140134714,0.7,50.76,0
2100,0,-0.160166024,1,0.663388613,36,51.35682159,0,0.01,[0.06349206 0.53174603 0.01587302 0.38888889 0.        ],25,-0.128702833,0.7,49.08,0
2200,-0.133064516,-0.15409147,0.75,0.667779965,61,51.29557354,0,0.01,[0.04761905 0.44217687 0.01360544 0.48979592 0.00680272],25,-0.176599608,0.64,46.52,0
2300,-0.234126984,-0.148756353,0.5,0.679261655,62,51.0922308,0,0.01,[0.01554404 0.56994819 0.03626943 0.22279793 0.15544041],25,-0.155496601,0.6,52,0
2400,-0.43442623,-0.171326888,0.25,0.634290127,60,51.07257714,0,0.01,[0.00473934 0.5450237  0.00473934 0.27014218 0.17535545],25,-0.121744472,0.7,49.24,0
2500,-0.269607843,-0.159845641,0.5,0.674714117,50,50.92877968,0,0.01,[0.0212766  0.62411348 0.03546099 0.07092199 0.24822695],25,-0.158529086,0.71,49.28,0
2600,-0.31557377,-0.141835714,0.25,0.709348794,60,50.79008397,0,0.01,[0.02139037 0.46524064 0.05882353 0.22994652 0.22459893],25,-0.09284671,0.82,45.28,0
2700,0,-0.137547173,1,0.721128193,78,50.66435986,0,0.01,[0.03846154 0.86923077 0.04615385 0.04615385 0.        ],25,-0.135973583,0.72,46.72,0
2800,0,-0.132877397,1,0.72997383,38,50.49241022,0,0.01,[0.03571429 0.375      0.05357143 0.53571429 0.        ],25,-0.173557446,0.64,49.48,0
2900,-0.651639344,-0.180512762,0.5,0.647909285,60,50.53409497,0,0.01,[0.02298851 0.8045977  0.01149425 0.16091954 0.        ],25,-0.145801979,0.71,46.48,0
3000,-0.320833333,-0.163120508,0.25,0.660987436,59,50.50224061,0,0.01,[0.01807229 0.95180723 0.01807229 0.01204819 0.        ],25,-0.091875059,0.78,44.88,0
3100,-0.333333333,-0.12087365,0.5,0.73221614,53,50.31922692,0,0.01,[0.07526882 0.15591398 0.05376344 0.70967742 0.00537634],25,-0.097351757,0.8,48.44,0
3200,0,-0.12720879,1,0.727668432,39,50.27378265,0,0.01,[0.03759398 0.4887218  0.07518797 0.39097744 0.0075188 ],25,-0.14235652,0.69,48.72,0
3300,-0.399038462,-0.127209952,0.25,0.744828743,51,50.14308029,0,0.01,[0.03636364 0.0969697  0.39393939 0.23636364 0.23636364],25,-0.137433183,0.7,51.52,0
3400,-0.351851852,-0.136889969,0.25,0.711601359,26,50.09875795,0,0.01,[0.04347826 0.35869565 0.20652174 0.38043478 0.01086957],25,-0.168087346,0.62,46.36,0
3500,-0.302419355,-0.128667343,0.5,0.733914631,61,49.95912967,0,0.01,[0.01724138 0.65517241 0.02873563 0.29885057 0.        ],25,-0.185454158,0.58,50.12,0
3600,0,-0.112682806,1,0.766275987,35,49.88746073,0,0.01,[0.03305785 0.2231405  0.07438017 0.66942149 0.        ],25,-0.078715641,0.84,45.72,0
3700,-0.129310345,-0.155130905,0.5,0.668608786,57,49.92474313,0,0.01,[0.01142857 0.69714286 0.01142857 0.08       0.2       ],25,-0.203940882,0.46,53.4,0
3800,0,-0.150072028,1,0.672927476,45,49.92488517,0,0.01,[0.1025641  0.77777778 0.07692308 0.04273504 0.        ],25,-0.154752171,0.66,47.64,0
3900,-0.147435897,-0.132387066,0.5,0.716254558,77,49.87792686,0,0.01,[0.05641026 0.08205128 0.02051282 0.84102564 0.        ],25,-0.189090548,0.66,52.48,0
4000,-0.257692308,-0.121432531,0.5,0.735025087,64,49.86362471,0,0.01,[0.01036269 0.13471503 0.01554404 0.83937824 0.        ],25,-0.137814631,0.63,50.4,0
