episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks
1200,-0.516949153,-0.274808612,0,0.461895982,58,55.11807448,0,0.01,[0.         0.05286344 0.20264317 0.3215859  0.42290749],25,-0.377758817,0.32,55.24,0
1300,-0.283333333,-0.27127896,0.25,0.458207928,59,54.95670275,0,0.01,[0.0201005  0.31658291 0.61306533 0.04522613 0.00502513],25,-0.203677198,0.63,51.28,0
1400,-0.25,-0.24447294,0.5,0.496023645,50,54.5641814,0,0.01,[0.02027027 0.05405405 0.86486486 0.05405405 0.00675676],25,-0.182688417,0.6,49.6,0
1500,0,-0.218399215,1,0.554420935,53,54.31620271,0,0.01,[0.03508772 0.24561404 0.69005848 0.02923977 0.        ],25,-0.186307803,0.58,54.16,0
1600,-0.131355932,-0.195117698,0.75,0.586880641,58,53.96668887,0,0.01,[0.0516129  0.06451613 0.76129032 0.12258065 0.        ],25,-0.141691481,0.72,43.48,0
1700,-0.24122807,-0.187305587,0.75,0.617518067,56,53.70393504,0,0.01,[0.03125 0.1375  0.75    0.08125 0.     ],25,-0.081506585,0.83,42.88,0
1800,0,-0.174057535,1,0.646246283,50,53.49323927,0,0.01,[0.02597403 0.31818182 0.51298701 0.13636364 0.00649351],25,-0.265183415,0.51,50.52,0
1900,-0.18877551,-0.170150809,0.25,0.644418728,48,53.29150472,0,0.01,[0.01408451 0.04225352 0.74647887 0.1971831  0.        ],25,-0.113493866,0.73,44.48,0
2000,0,-0.127230959,1,0.737292612,42,52.91478169,0,0.01,[0.046875 0.234375 0.65625  0.0625   0.      ],25,-0.083404256,0.82,45.84,0
2100,-0.50862069,-0.126068038,0,0.744448812,28,52.66966517,0,0.01,[0.03571429 0.32142857 0.58035714 0.0625     0.        ],25,-0.090952517,0.8,45.4,0
2200,-0.10483871,-0.109213126,0.75,0.765142089,61,52.50690148,0,0.01,[0.02366864 0.07692308 0.83431953 0.06508876 0.        ],25,-0.15076649,0.72,49.56,0
2300,0,-0.124753824,1,0.74486673,38,52.27260336,0,0.01,[0.02857143 0.14285714 0.77857143 0.05       0.        ],25,-0.164952819,0.65,51.16,0
2400,-0.016949153,-0.115153576,1,0.764510663,43,52.05041286,0,0.01,[0.03278689 0.03278689 0.87704918 0.05737705 0.        ],25,-0.088337483,0.78,48.48,0
2500,-0.155940594,-0.112356982,0.75,0.776436264,100,51.90587255,0,0.01,[0.0130719  0.26797386 0.69934641 0.0130719  0.00653595],25,-0.081084311,0.84,45.36,0
2600,-0.568681319,-0.118406599,0.25,0.777227701,90,51.7804878,0,0.01,[0.003861   0.47490347 0.50579151 0.01158301 0.003861  ],25,-0.097920894,0.76,42.48,0
2700,0,-0.105547984,1,0.811378185,40,51.57093426,0,0.01,[0.04098361 0.56557377 0.36885246 0.02459016 0.        ],25,-0.072607976,0.88,45.24,0
2800,-0.173387097,-0.130413693,0.5,0.740306284,61,51.53424658,0,0.01,[0.01290323 0.35483871 0.58064516 0.0516129  0.        ],25,-0.07524592,0.83,47.96,0
2900,0,-0.103065395,1,0.798427137,45,51.25098179,0,0.01,[0.03921569 0.11764706 0.80392157 0.03921569 0.        ],25,-0.083216131,0.81,43.48,0
3000,0,-0.125126186,1,0.76062148,33,51.06377111,0,0.01,[0.04385965 0.13157895 0.79824561 0.02631579 0.        ],25,-0.068300855,0.86,47.56,0
3100,-0.208860759,-0.111898417,0.5,0.777823346,78,51.03665445,0,0.01,[0.43303571 0.23214286 0.30803571 0.02678571 0.        ],25,-0.123178426,0.78,47,0
3200,-0.072727273,-0.113473928,0.5,0.767467281,54,50.87229926,0,0.01,[0.02631579 0.19078947 0.59210526 0.03947368 0.15131579],25,-0.094540499,0.77,50.44,0
3300,-0.004807692,-0.10040103,1,0.793055908,42,50.72945954,0,0.01,[0.02542373 0.29661017 0.52542373 0.15254237 0.        ],25,-0.072302521,0.87,43.24,0
3400,-0.207831325,-0.108419248,0.75,0.794376592,82,50.57255377,0,0.01,[0.00934579 0.05607477 0.89252336 0.03738318 0.0046729 ],25,-0.12585419,0.77,43.6,0
3500,-0.378787879,-0.112876037,0.25,0.79059234,32,50.4745663,0,0.01,[0.03418803 0.21367521 0.7008547  0.05128205 0.        ],25,-0.048345861,0.9,43.28,0
3600,0,-0.11484612,1,0.763213636,42,50.36246787,0,0.01,[0.03603604 0.21621622 0.71171171 0.02702703 0.00900901],25,-0.165596941,0.75,49.96,0
3700,-0.298850575,-0.093042669,0.5,0.82133087,86,50.2174396,0,0.01,[0.01136364 0.32386364 0.63636364 0.02272727 0.00568182],25,-0.073756471,0.84,42.96,0
3800,0,-0.104360175,1,0.811143817,33,50.11645501,0,0.01,[0.03333333 0.25833333 0.65       0.05       0.00833333],25,-0.074646834,0.85,44.2,0
3900,0,-0.120398476,1,0.768875677,38,50.05656406,0,0.01,[0.032 0.152 0.752 0.064 0.   ],25,-0.053652842,0.86,43.28,0
4000,-0.132653061,-0.095261216,0.75,0.801940488,48,49.93386311,0,0.01,[0.03448276 0.56896552 0.26724138 0.12931034 0.        ],25,-0.098401171,0.81,46.48,0
